SYMBOL_CODE,SYMBOL_NAME,MARKET_TYPE,ASSETS_TYPE,PUBLIC_DATE,INDUSTRY
有價證券代號及名稱,國際證券辨識號碼(ISIN Code),上市日,市場別,產業別,CFICode
080900　中砂統一42購04,TW24Z0809002,2024/02/26,上市,,RWSCCA
080901　中砂統一42購05,TW24Z0809010,2024/02/26,上市,,RWSCCA
080902　上銀統一42購02,TW24Z0809028,2024/02/26,上市,,RWSCCA
080903　川湖統一3C購07,TW24Z0809036,2024/02/26,上市,,RWSCCA
080904　川湖統一42購07,TW24Z0809044,2024/02/26,上市,,RWSCCA
080905　川湖統一46購01,TW24Z0809051,2024/02/26,上市,,RWSCCA
080906　友訊統一3C購01,TW24Z0809069,2024/02/26,上市,,RWSCCA
080907　致茂統一42購01,TW24Z0809077,2024/02/26,上市,,RWSCCA
080908　燿華統一42購01,TW24Z0809085,2024/02/26,上市,,RWSCCA
080909　瑞昱統一42購02,TW24Z0809093,2024/02/26,上市,,RWSCCA
08090T　聯詠富邦3C售02,TW24Z08090T2,2024/04/30,上市,,RWSCPE
080910　群光統一3C購02,TW24Z0809101,2024/02/26,上市,,RWSCCA
080911　建準統一3C購03,TW24Z0809119,2024/02/26,上市,,RWSCCA
080912　建準統一42購02,TW24Z0809127,2024/02/26,上市,,RWSCCA
080913　建準統一42購03,TW24Z0809135,2024/02/26,上市,,RWSCCA
080914　建準統一43購04,TW24Z0809143,2024/02/26,上市,,RWSCCA
080915　建準統一44購02,TW24Z0809150,2024/02/26,上市,,RWSCCA
080916　義隆統一44購01,TW24Z0809168,2024/02/26,上市,,RWSCCA
080917　鉅祥統一3C購01,TW24Z0809176,2024/02/26,上市,,RWSCCA
080918　鉅祥統一42購02,TW24Z0809184,2024/02/26,上市,,RWSCCA
080919　鉅祥統一48購01,TW24Z0809192,2024/02/26,上市,,RWSCCA
08091T　勤誠富邦43售01,TW24Z08091T0,2024/04/30,上市,,RWSCPE
080920　長榮統一44購01,TW24Z0809200,2024/02/26,上市,,RWSCCA
080921　慧洋統一42購01,TW24Z0809218,2024/02/26,上市,,RWSCCA
080922　神基統一42購03,TW24Z0809226,2024/02/26,上市,,RWSCCA
080923　嘉澤統一3C購02,TW24Z0809234,2024/02/26,上市,,RWSCCA
080924　碩天統一42購03,TW24Z0809242,2024/02/26,上市,,RWSCCA
080925　碩天統一42購04,TW24Z0809259,2024/02/26,上市,,RWSCCA
080926　碩天統一42購05,TW24Z0809267,2024/02/26,上市,,RWSCCA
080927　南寶統一42購03,TW24Z0809275,2024/02/26,上市,,RWSCCA
080928　正文統一44購01,TW24Z0809283,2024/02/26,上市,,RWSCCA
080929　天鈺統一3C購02,TW24Z0809291,2024/02/26,上市,,RWSCCA
08092T　聯發科元富3A售16,TW24Z08092T8,2024/04/30,上市,,RWSCPE
080930　天鈺統一42購01,TW24Z0809309,2024/02/26,上市,,RWSCCA
080931　天鈺統一42購02,TW24Z0809317,2024/02/26,上市,,RWSCCA
080932　天鈺統一42購03,TW24Z0809325,2024/02/26,上市,,RWSCCA
080933　虹堡統一42購01,TW24Z0809333,2024/02/26,上市,,RWSCCA
080934　虹堡統一42購02,TW24Z0809341,2024/02/26,上市,,RWSCCA
080935　虹堡統一42購03,TW24Z0809358,2024/02/26,上市,,RWSCCA
080936　啟碁統一44購01,TW24Z0809366,2024/02/26,上市,,RWSCCA
080937　訊芯統一42購05,TW24Z0809374,2024/02/26,上市,,RWSCCA
080938　愛普統一42購02,TW24Z0809382,2024/02/26,上市,,RWSCCA
080939　晶心科統一42購06,TW24Z0809390,2024/02/26,上市,,RWSCCA
08093T　聯發科元富3A售17,TW24Z08093T6,2024/04/30,上市,,RWSCPE
080940　矽創統一3C購01,TW24Z0809408,2024/02/26,上市,,RWSCCA
080941　矽創統一42購02,TW24Z0809416,2024/02/26,上市,,RWSCCA
080942　矽創統一42購03,TW24Z0809424,2024/02/26,上市,,RWSCCA
080943　勤誠統一48購01,TW24Z0809432,2024/02/26,上市,,RWSCCA
080944　台灣50元富38購04,TW24Z0809440,2024/02/26,上市,,RWBCCA
080945　東陽元富38購01,TW24Z0809457,2024/02/26,上市,,RWSCCA
080946　川湖元富3B購05,TW24Z0809465,2024/02/26,上市,,RWSCCA
080947　川湖元富3B購06,TW24Z0809473,2024/02/26,上市,,RWSCCA
080948　裕隆元富38購02,TW24Z0809481,2024/02/26,上市,,RWSCCA
080949　華泰元富3C購02,TW24Z0809499,2024/02/26,上市,,RWSCCA
08094T　高力元富3A售01,TW24Z08094T4,2024/04/30,上市,,RWSCPE
080950　台積電元富38購06,TW24Z0809507,2024/02/26,上市,,RWSCCA
080951　台積電元富38購07,TW24Z0809515,2024/02/26,上市,,RWSCCA
080952　台積電元富3B購03,TW24Z0809523,2024/02/26,上市,,RWSCCA
080953　台積電元富3B購04,TW24Z0809531,2024/02/26,上市,,RWSCCA
080954　台積電元富42購04,TW24Z0809549,2024/02/26,上市,,RWSCCA
080955　友訊元富38購01,TW24Z0809556,2024/02/26,上市,,RWSCCA
080956　宏碁元富38購02,TW24Z0809564,2024/02/26,上市,,RWSCCA
080957　宏碁元富38購03,TW24Z0809572,2024/02/26,上市,,RWSCCA
080958　宏碁元富42購01,TW24Z0809580,2024/02/26,上市,,RWSCCA
080959　菱生元富38購03,TW24Z0809598,2024/02/26,上市,,RWSCCA
08095T　世紀鋼元富3A售01,TW24Z08095T1,2024/04/30,上市,,RWSCPE
080960　技嘉元富52購01,TW24Z0809606,2024/02/26,上市,,RWSCCA
080961　凌陽元富38購02,TW24Z0809614,2024/02/26,上市,,RWSCCA
080962　志聖元富38購02,TW24Z0809622,2024/02/26,上市,,RWSCCA
080963　志聖元富38購03,TW24Z0809630,2024/02/26,上市,,RWSCCA
080964　長榮元富3B購01,TW24Z0809648,2024/02/26,上市,,RWSCCA
080965　美食元富38購01,TW24Z0809655,2024/02/26,上市,,RWSCCA
080966　晶豪科元富3B購01,TW24Z0809663,2024/02/26,上市,,RWSCCA
080967　華擎元富38購02,TW24Z0809671,2024/02/26,上市,,RWSCCA
080968　辛耘元富38購01,TW24Z0809689,2024/02/26,上市,,RWSCCA
080969　大眾控元富38購02,TW24Z0809697,2024/02/26,上市,,RWSCCA
08096T　世紀鋼元富3A售02,TW24Z08096T9,2024/04/30,上市,,RWSCPE
